Experiment,Vertices,Edges,Density,Status,Algorithm,Time(ms),Memory(KB),Weight
V200_D0.020000,200,398,0.02,COMPLETED,Kruskal,0.033,8,6033.95
V200_D0.020000,200,398,0.02,COMPLETED,Prim_BinaryHeap,0.0328,0,6033.95
V200_D0.020000,200,398,0.02,COMPLETED,KKT,0.1809,76,6033.95
V200_D0.020000,200,398,0.02,COMPLETED,Boruvka_Parallel_2threads,0.8564,20,6033.95
V200_D0.020000,200,398,0.02,COMPLETED,Boruvka_Parallel_4threads,0.8157,4,6033.95
V200_D0.050000,200,995,0.05,COMPLETED,Kruskal,0.0697,12,2451.13
V200_D0.050000,200,995,0.05,COMPLETED,Prim_BinaryHeap,0.0544,0,2451.13
V200_D0.050000,200,995,0.05,COMPLETED,KKT,0.49,76,2451.13
V200_D0.050000,200,995,0.05,COMPLETED,Boruvka_Parallel_2threads,0.6034,4,2451.13
V200_D0.050000,200,995,0.05,COMPLETED,Boruvka_Parallel_4threads,1.7821,0,2451.13
V200_D0.100000,200,1990,0.1,COMPLETED,Kruskal,0.1159,32,1326.68
V200_D0.100000,200,1990,0.1,COMPLETED,Prim_BinaryHeap,0.073,0,1326.68
V200_D0.100000,200,1990,0.1,COMPLETED,KKT,0.7345,16,1326.68
V200_D0.100000,200,1990,0.1,COMPLETED,Boruvka_Parallel_2threads,0.4671,0,1326.68
V200_D0.100000,200,1990,0.1,COMPLETED,Boruvka_Parallel_4threads,0.7845,0,1326.68
V200_D0.200000,200,3980,0.2,COMPLETED,Kruskal,0.2506,92,777.237
V200_D0.200000,200,3980,0.2,COMPLETED,Prim_BinaryHeap,0.1079,0,777.237
V200_D0.200000,200,3980,0.2,COMPLETED,KKT,1.2197,76,777.237
V200_D0.200000,200,3980,0.2,COMPLETED,Boruvka_Parallel_2threads,0.5847,0,777.237
V200_D0.200000,200,3980,0.2,COMPLETED,Boruvka_Parallel_4threads,0.7798,0,777.237
V200_D0.500000,200,9950,0.5,COMPLETED,Kruskal,0.6367,156,431.027
V200_D0.500000,200,9950,0.5,COMPLETED,Prim_BinaryHeap,0.1737,0,431.027
V200_D0.500000,200,9950,0.5,COMPLETED,KKT,2.2887,272,431.027
V200_D0.500000,200,9950,0.5,COMPLETED,Boruvka_Parallel_2threads,1.3847,16,431.027
V200_D0.500000,200,9950,0.5,COMPLETED,Boruvka_Parallel_4threads,1.5915,12,431.027
V200_D1.000000,200,199,1,COMPLETED,Kruskal,0.0172,0,9637.62
V200_D1.000000,200,199,1,COMPLETED,Prim_BinaryHeap,0.016,0,9637.62
V200_D1.000000,200,199,1,COMPLETED,KKT,0.095,20,9637.62
V200_D1.000000,200,199,1,COMPLETED,Boruvka_Parallel_2threads,0.6572,0,9637.62
V200_D1.000000,200,199,1,COMPLETED,Boruvka_Parallel_4threads,1.0015,0,9637.62
V200_D2.000000,200,200,2,COMPLETED,Kruskal,0.0149,0,9387.14
V200_D2.000000,200,200,2,COMPLETED,Prim_BinaryHeap,0.0163,0,9387.14
V200_D2.000000,200,200,2,COMPLETED,KKT,0.095,4,9387.14
V200_D2.000000,200,200,2,COMPLETED,Boruvka_Parallel_2threads,0.4707,0,9387.14
V200_D2.000000,200,200,2,COMPLETED,Boruvka_Parallel_4threads,0.8266,0,9387.14
V200_D5.000000,200,500,5,COMPLETED,Kruskal,0.038,0,4864.86
V200_D5.000000,200,500,5,COMPLETED,Prim_BinaryHeap,0.0494,16,4864.86
V200_D5.000000,200,500,5,COMPLETED,KKT,0.3631,56,4864.86
V200_D5.000000,200,500,5,COMPLETED,Boruvka_Parallel_2threads,0.6232,20,4864.86
V200_D5.000000,200,500,5,COMPLETED,Boruvka_Parallel_4threads,0.9709,0,4864.86
V200_D10.000000,200,1000,10,COMPLETED,Kruskal,0.0688,16,2490.62
V200_D10.000000,200,1000,10,COMPLETED,Prim_BinaryHeap,0.0613,0,2490.62
V200_D10.000000,200,1000,10,COMPLETED,KKT,0.5769,80,2490.62
V200_D10.000000,200,1000,10,COMPLETED,Boruvka_Parallel_2threads,0.6167,4,2490.62
V200_D10.000000,200,1000,10,COMPLETED,Boruvka_Parallel_4threads,0.6346,0,2490.62
V200_D20.000000,200,2000,20,COMPLETED,Kruskal,0.1142,32,1306.23
V200_D20.000000,200,2000,20,COMPLETED,Prim_BinaryHeap,0.0774,0,1306.23
V200_D20.000000,200,2000,20,COMPLETED,KKT,0.8255,18446744073709551588,1306.23
V200_D20.000000,200,2000,20,COMPLETED,Boruvka_Parallel_2threads,0.5208,8,1306.23
V200_D20.000000,200,2000,20,COMPLETED,Boruvka_Parallel_4threads,0.6218,0,1306.23
V500_D0.010000,500,1247,0.01,COMPLETED,Kruskal,0.1015,0,11758.5
V500_D0.010000,500,1247,0.01,COMPLETED,Prim_BinaryHeap,0.0957,0,11758.5
V500_D0.010000,500,1247,0.01,COMPLETED,KKT,0.9317,88,11758.5
V500_D0.010000,500,1247,0.01,COMPLETED,Boruvka_Parallel_2threads,0.887,12,11758.5
V500_D0.010000,500,1247,0.01,COMPLETED,Boruvka_Parallel_4threads,1.1283,0,11758.5
V500_D0.020000,500,2495,0.02,COMPLETED,Kruskal,0.1523,0,6239.46
V500_D0.020000,500,2495,0.02,COMPLETED,Prim_BinaryHeap,0.1376,0,6239.46
V500_D0.020000,500,2495,0.02,COMPLETED,KKT,1.483,116,6239.46
V500_D0.020000,500,2495,0.02,COMPLETED,Boruvka_Parallel_2threads,0.7552,8,6239.46
V500_D0.020000,500,2495,0.02,COMPLETED,Boruvka_Parallel_4threads,0.9156,0,6239.46
V500_D0.050000,500,6237,0.05,COMPLETED,Kruskal,0.3978,96,2893.44
V500_D0.050000,500,6237,0.05,COMPLETED,Prim_BinaryHeap,0.2176,16,2893.44
V500_D0.050000,500,6237,0.05,COMPLETED,KKT,3.8715,332,2893.44
V500_D0.050000,500,6237,0.05,COMPLETED,Boruvka_Parallel_2threads,1.1196,8,2893.44
V500_D0.050000,500,6237,0.05,COMPLETED,Boruvka_Parallel_4threads,1.0803,16,2893.44
V500_D0.100000,500,12475,0.1,COMPLETED,Kruskal,0.7878,32,1661.81
V500_D0.100000,500,12475,0.1,COMPLETED,Prim_BinaryHeap,0.3088,24,1661.81
V500_D0.100000,500,12475,0.1,COMPLETED,KKT,5.8463,520,1661.81
V500_D0.100000,500,12475,0.1,COMPLETED,Boruvka_Parallel_2threads,1.5481,20,1661.81
V500_D0.100000,500,12475,0.1,COMPLETED,Boruvka_Parallel_4threads,1.3088,0,1661.81
V500_D0.200000,500,24950,0.2,COMPLETED,Kruskal,1.5213,60,1048.6
V500_D0.200000,500,24950,0.2,COMPLETED,Prim_BinaryHeap,0.451,24,1048.6
V500_D0.200000,500,24950,0.2,COMPLETED,KKT,9.3148,280,1048.6
V500_D0.200000,500,24950,0.2,COMPLETED,Boruvka_Parallel_2threads,2.9913,64,1048.6
V500_D0.200000,500,24950,0.2,COMPLETED,Boruvka_Parallel_4threads,2.4545,0,1048.6
V500_D0.500000,500,62375,0.5,COMPLETED,Kruskal,4.1678,976,739.765
V500_D0.500000,500,62375,0.5,COMPLETED,Prim_BinaryHeap,0.81,64,739.765
