Experiment,Vertices,Edges,Density,Status,Algorithm,Time(ms),Memory(KB),Weight
V5000_D0.100000,5000,1249750,0.1,COMPLETED,KKT,1310.44,33412,6198.74
V5000_D0.100000,5000,1249750,0.1,COMPLETED,Boruvka_Parallel_2threads,69.8615,56,6198.74
V5000_D0.100000,5000,1249750,0.1,COMPLETED,Boruvka_Parallel_4threads,52.9033,4,6198.74
V5000_D0.200000,5000,2499500,0.2,COMPLETED,Kruskal,182.165,39240,5588.8
V5000_D0.200000,5000,2499500,0.2,COMPLETED,Prim_BinaryHeap,22.4533,828,5588.8
V5000_D0.200000,5000,2499500,0.2,COMPLETED,KKT,2903.84,60240,5588.8
V5000_D0.200000,5000,2499500,0.2,COMPLETED,Boruvka_Parallel_2threads,178.837,0,5588.8
V5000_D0.200000,5000,2499500,0.2,COMPLETED,Boruvka_Parallel_4threads,139.019,0,5588.8
V5000_D0.500000,5000,6248750,0.5,COMPLETED,Kruskal,506.852,97828,5234.22
V5000_D0.500000,5000,6248750,0.5,COMPLETED,Prim_BinaryHeap,46.4148,1468,5234.22
V5000_D0.500000,5000,6248750,0.5,COMPLETED,KKT,7567.61,147348,5234.22
V5000_D0.500000,5000,6248750,0.5,COMPLETED,Boruvka_Parallel_2threads,387.524,112,5234.22
V5000_D0.500000,5000,6248750,0.5,COMPLETED,Boruvka_Parallel_4threads,278.494,0,5234.22
V5000_D1.000000,5000,4999,1,COMPLETED,Kruskal,0.4145,176,254216
V5000_D1.000000,5000,4999,1,COMPLETED,Prim_BinaryHeap,0.5677,0,254216
V5000_D1.000000,5000,4999,1,COMPLETED,KKT,8.7571,624,254216
V5000_D1.000000,5000,4999,1,COMPLETED,Boruvka_Parallel_2threads,2.5374,4,254216
V5000_D1.000000,5000,4999,1,COMPLETED,Boruvka_Parallel_4threads,3.6155,32,254216
V5000_D2.000000,5000,5000,2,COMPLETED,Kruskal,1.2023,0,251618
V5000_D2.000000,5000,5000,2,COMPLETED,Prim_BinaryHeap,0.4763,0,251618
V5000_D2.000000,5000,5000,2,COMPLETED,KKT,10.2935,140,251618
V5000_D2.000000,5000,5000,2,COMPLETED,Boruvka_Parallel_2threads,1.8137,12,251618
V5000_D2.000000,5000,5000,2,COMPLETED,Boruvka_Parallel_4threads,2.4055,0,251618
V5000_D5.000000,5000,12500,5,COMPLETED,Kruskal,1.0312,284,120323
V5000_D5.000000,5000,12500,5,COMPLETED,Prim_BinaryHeap,1.4116,12,120323
V5000_D5.000000,5000,12500,5,COMPLETED,KKT,23.364,2252,120323
V5000_D5.000000,5000,12500,5,COMPLETED,Boruvka_Parallel_2threads,4.6059,0,120344
V5000_D5.000000,5000,12500,5,COMPLETED,Boruvka_Parallel_4threads,3.1791,0,120323
V5000_D10.000000,5000,25000,10,COMPLETED,Kruskal,1.8471,464,65022.1
V5000_D10.000000,5000,25000,10,COMPLETED,Prim_BinaryHeap,1.9962,200,65022.1
V5000_D10.000000,5000,25000,10,COMPLETED,KKT,45.9464,4328,65022.1
V5000_D10.000000,5000,25000,10,COMPLETED,Boruvka_Parallel_2threads,5.6569,0,65022.1
V5000_D10.000000,5000,25000,10,COMPLETED,Boruvka_Parallel_4threads,3.9346,0,65022.1
V5000_D20.000000,5000,50000,20,COMPLETED,Kruskal,2.9679,812,33744.3
V5000_D20.000000,5000,50000,20,COMPLETED,Prim_BinaryHeap,2.1613,28,33744.3
V5000_D20.000000,5000,50000,20,COMPLETED,KKT,84.8882,4684,33744.3
V5000_D20.000000,5000,50000,20,COMPLETED,Boruvka_Parallel_2threads,5.9451,0,33744.3
V5000_D20.000000,5000,50000,20,COMPLETED,Boruvka_Parallel_4threads,6.0465,0,33744.3
V10000_D0.010000,10000,499950,0.01,COMPLETED,Kruskal,34.6164,8040,22091.8
V10000_D0.010000,10000,499950,0.01,COMPLETED,Prim_BinaryHeap,11.1295,1272,22091.8
V10000_D0.010000,10000,499950,0.01,COMPLETED,KKT,915.163,36444,22091.8
V10000_D0.010000,10000,499950,0.01,COMPLETED,Boruvka_Parallel_2threads,47.1438,8,22091.8
V10000_D0.010000,10000,499950,0.01,COMPLETED,Boruvka_Parallel_4threads,31.0278,0,22091.8
V10000_D0.020000,10000,999900,0.02,COMPLETED,Kruskal,70.9774,15820,15888.8
V10000_D0.020000,10000,999900,0.02,COMPLETED,Prim_BinaryHeap,16.2896,1364,15888.8
V10000_D0.020000,10000,999900,0.02,COMPLETED,KKT,1624.04,64692,15888.8
V10000_D0.020000,10000,999900,0.02,COMPLETED,Boruvka_Parallel_2threads,82.2419,8,15888.8
V10000_D0.020000,10000,999900,0.02,COMPLETED,Boruvka_Parallel_4threads,53.6518,0,15888.8
V10000_D0.050000,10000,2499750,0.05,COMPLETED,Kruskal,186.497,39324,12369.1
V10000_D0.050000,10000,2499750,0.05,COMPLETED,Prim_BinaryHeap,25.7185,1524,12369.1
V10000_D0.050000,10000,2499750,0.05,COMPLETED,KKT,4395.72,70444,12369.1
V10000_D0.050000,10000,2499750,0.05,COMPLETED,Boruvka_Parallel_2threads,184.889,96,12369.1
V10000_D0.050000,10000,2499750,0.05,COMPLETED,Boruvka_Parallel_4threads,122.912,0,12369.1
V10000_D0.100000,10000,4999500,0.1,COMPLETED,Kruskal,453.455,78284,11187.3
V10000_D0.100000,10000,4999500,0.1,COMPLETED,Prim_BinaryHeap,48.7063,1604,11187.3
V10000_D0.100000,10000,4999500,0.1,COMPLETED,KKT,8335.54,133272,11187.3
V10000_D0.100000,10000,4999500,0.1,COMPLETED,Boruvka_Parallel_2threads,385.143,0,11187.3
V10000_D0.100000,10000,4999500,0.1,COMPLETED,Boruvka_Parallel_4threads,304.833,0,11187.3
V10000_D0.200000,10000,9999000,0.2,COMPLETED,Kruskal,941.169,156436,10588
V10000_D0.200000,10000,9999000,0.2,COMPLETED,Prim_BinaryHeap,94.2835,1724,10588
V10000_D0.200000,10000,9999000,0.2,COMPLETED,KKT,17922.5,244804,10588
V10000_D0.200000,10000,9999000,0.2,COMPLETED,Boruvka_Parallel_2threads,745.119,4,10588
V10000_D0.200000,10000,9999000,0.2,COMPLETED,Boruvka_Parallel_4threads,591.174,0,10588
V20000_D0.010000,20000,1999900,0.01,COMPLETED,Kruskal,157.856,31876,31825.3
V20000_D0.010000,20000,1999900,0.01,COMPLETED,Prim_BinaryHeap,35.9908,1732,31825.3
V20000_D0.010000,20000,1999900,0.01,COMPLETED,KKT,6237.75,135912,31825.3
V20000_D0.010000,20000,1999900,0.01,COMPLETED,Boruvka_Parallel_2threads,160.835,8,31825.3
V20000_D0.010000,20000,1999900,0.01,COMPLETED,Boruvka_Parallel_4threads,117.889,0,31825.6
V20000_D0.020000,20000,3999800,0.02,COMPLETED,Kruskal,328.729,63160,25945.5
V20000_D0.020000,20000,3999800,0.02,COMPLETED,Prim_BinaryHeap,54.6262,2212,25945.5
V20000_D0.020000,20000,3999800,0.02,COMPLETED,KKT,11788.2,112240,25945.5
V20000_D0.020000,20000,3999800,0.02,COMPLETED,Boruvka_Parallel_2threads,386.854,0,25945.5
V20000_D0.020000,20000,3999800,0.02,COMPLETED,Boruvka_Parallel_4threads,275.046,0,25945.5
V20000_D0.050000,20000,9999500,0.05,COMPLETED,Kruskal,945.501,156876,22369.4
V20000_D0.050000,20000,9999500,0.05,COMPLETED,Prim_BinaryHeap,110.547,2172,22369.4
V20000_D0.050000,20000,9999500,0.05,COMPLETED,KKT,26698.4,290668,22369.4
V20000_D0.050000,20000,9999500,0.05,COMPLETED,Boruvka_Parallel_2threads,869.149,68,22369.4
V20000_D0.050000,20000,9999500,0.05,COMPLETED,Boruvka_Parallel_4threads,586.37,0,22369.4
V20000_D0.100000,20000,19999000,0.1,COMPLETED,Kruskal,1699.7,313112,21179.3
V20000_D0.100000,20000,19999000,0.1,COMPLETED,Prim_BinaryHeap,170.408,2344,21179.3
V20000_D0.100000,20000,19999000,0.1,COMPLETED,KKT,86453,532360,21179.3
V20000_D0.100000,20000,19999000,0.1,COMPLETED,Boruvka_Parallel_2threads,3421.9,4,21179.3
V20000_D0.100000,20000,19999000,0.1,COMPLETED,Boruvka_Parallel_4threads,2133.45,0,21179.3
V50000_D0.010000,50000,49999,0.01,COMPLETED,Kruskal,16.8512,3592,2.52459e+06
V50000_D0.010000,50000,49999,0.01,COMPLETED,Prim_BinaryHeap,2.7366,1252,2.52459e+06
V50000_D0.010000,50000,49999,0.01,COMPLETED,KKT,2255.31,11784,2.52459e+06
V50000_D0.010000,50000,49999,0.01,COMPLETED,Boruvka_Parallel_2threads,50.3746,1396,2.52459e+06
V50000_D0.010000,50000,49999,0.01,COMPLETED,Boruvka_Parallel_4threads,29.1693,920,2.52459e+06
